/

D D NOMBRE                         NOMBRE                         T CODIGO  DESCRIPCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L X Laboratorio                    RX - GENERAL 2                 P X0013   RX DORSAL AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L X Laboratorio                    RX - GENERAL 2                 P X0024   RX ESTERNON AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L X Laboratorio                    RX - GENERAL 2                 P X0025   RX FEMUR AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L X Laboratorio                    RX - GENERAL 2                 P X0027   RX HOMBRO AP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L X Laboratorio                    RX - GENERAL 2                 P X0083   RX HOMBRO AP Y AXIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L X Laboratorio                    RX - GENERAL 2                 P X0084   RX HUESOS PROPIOS NARIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L X Laboratorio                    RX - GENERAL 2                 P X0015   RX LUMBO SACRA AP Y LAT.OBLI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L X Laboratorio                    RX - GENERAL 2                 P X0014   RX LUMBO SACRA AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L X Laboratorio                    RX - GENERAL 2                 P X0085   RX MACIZO FACIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
L X Laboratorio                    RX - GENERAL 2                 P X0026   RX MANO AP Y OBLICUA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L X Laboratorio                    RX - GENERAL 2                 P X0033   RX ORBITA AP Y OBL UNILATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L X Laboratorio                    RX - GENERAL 2                 P X0086   RX ORBITA OBL BILATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L X Laboratorio                    RX - GENERAL 2                 P X0034   RX PELVIS AP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L X Laboratorio                    RX - GENERAL 2                 P X0004   RX PELVIS AP Y AXIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L X Laboratorio                    RX - GENERAL 2                 P X0087   RX PELVIS AP Y OBL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
L X Laboratorio                    RX - GENERAL 2                 P X0035   RX PIE AP Y OBLICUO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L X Laboratorio                    RX - GENERAL 2                 P X0037   RX PIERNA AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L X Laboratorio                    RX - GENERAL 2                 P X0071   RX PIEZA QUIRURGICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L X Laboratorio                    RX - GENERAL 2                 P X0039   RX RODILLA AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L X Laboratorio                    RX - GENERAL 2                 P X0006   RX RODILLA AXIAL (30,60,90)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L X Laboratorio                    RX - GENERAL 2                 P X0044   RX TOBILLO AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L X Laboratorio                    RX - GENERAL 2                 P X0097   RX TOBILLO LATERAL Y AXIAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L X Laboratorio                    RX - GENERAL 2                 P X0046   RX TORAX AP Y LATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L X Laboratorio                    RX - GENERAL 2                 P X0040   SENOS PARANASALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
L X Laboratorio                    RX - GENERAL 2                 P X0042   SERIE OSEA METASTASICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L X Laboratorio                    RX - GENERAL 2                 P X0077   TAC SIMPLE DE PELVIS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L X Laboratorio                    RX - GENERAL 2                 P X0090   TOMOGRAFIA LINEAL TORAX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L X Laboratorio                    RX - GENERAL 2                 P X0095   TORACOCENTESIS GUIADA POR ECO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L X Laboratorio                    RX - GENERAL 2                 P X0047   TORAX OSEO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L X Laboratorio                    RX - GENERAL 2                 P X0045   TORAX STANDAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L Y Laboratorio                    XXX                            P VAR0001 TROPONIMA I CUANTITATIVA (SL)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L Z Laboratorio                    MEDICINA NUCLEAR               P D0008   CARDIACO FEVI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L Z Laboratorio                    MEDICINA NUCLEAR               P D0012   ERITROCITOS MARCADOS HEMTEC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L Z Laboratorio                    MEDICINA NUCLEAR               P D0019   GAMMAGRAFIA CON GALIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L Z Laboratorio                    MEDICINA NUCLEAR               P D0021   GAMMAGRAFIA HEPATO ESPLENICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L Z Laboratorio                    MEDICINA NUCLEAR               P D0010   GAMMAGRAFIA MAMA CON MIBI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L Z Laboratorio                    MEDICINA NUCLEAR               P D0001   GAMMAGRAFIA OSEA CON MDP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L Z Laboratorio                    MEDICINA NUCLEAR               P D0011   GAMMAGRAFIA RENAL DTPA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L Z Laboratorio                    MEDICINA NUCLEAR               P D0002   GAMMAGRAFIA TIROIDES TECNECIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
L Z Laboratorio                    MEDICINA NUCLEAR               P D0003   GAMMAGRAFIA TIROIDES YODO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L Z Laboratorio                    MEDICINA NUCLEAR               P D0009   PULMONAR PERFUSORIA MAA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L Z Laboratorio                    MEDICINA NUCLEAR               P D0027   RASTREO  CORPORAL 131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L Z Laboratorio                    MEDICINA NUCLEAR               P D0022   RASTREO C ENTERO  INDIO ADULTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L Z Laboratorio                    MEDICINA NUCLEAR               P D0024   RASTREO C ENTERO MIBG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L Z Laboratorio                    MEDICINA NUCLEAR               P D0004   RASTREO C.ENTERO YODO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
